['1', '我不是药神', '主演：徐峥,周一围,王传君', '上映时间：2018-07-05', '9.6']
['2', '肖申克的救赎', '主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿', '上映时间：1994-09-10(加拿大)', '9.5']
['3', '海上钢琴师', '主演：蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世', '上映时间：2019-11-15', '9.3']
['4', '绿皮书', '主演：维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼', '上映时间：2019-03-01', '9.5']
['5', '霸王别姬', '主演：张国荣,张丰毅,巩俐', '上映时间：1993-07-26', '9.4']
['6', '美丽人生', '主演：罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克', '上映时间：2020-01-03', '9.3']
['7', '小偷家族', '主演：中川雅也,安藤樱,松冈茉优', '上映时间：2018-08-03', '8.1']
['8', '这个杀手不太冷', '主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼', '上映时间：1994-09-14(法国)', '9.4']
['9', '哪吒之魔童降世', '主演：吕艳婷,囧森瑟夫,瀚墨', '上映时间：2019-07-26', '9.6']
['10', '怦然心动', '主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因', '上映时间：2010-07-26(美国)', '8.9']
['11', '盗梦空间', '主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特', '上映时间：2010-09-01', '9.0']
['12', '星际穿越', '主演：马修·麦康纳,安妮•海瑟薇,杰西卡·查斯坦', '上映时间：2014-11-12', '9.3']
['13', '阿甘正传', '主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯', '上映时间：1994-07-06(美国)', '9.4']
['14', '楚门的世界', '主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇', '上映时间：1998(罗马尼亚)', '8.9']
['15', '千与千寻', '主演：柊瑠美,周冬雨,井柏然', '上映时间：2019-06-21', '9.3']
['16', '触不可及', '主演：弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼', '上映时间：2011-11-02(法国)', '9.1']
['17', '辛德勒的名单', '主演：连姆·尼森,拉尔夫·费因斯,本·金斯利', '上映时间：1993-11-30(美国)', '9.2']
['18', '寻梦环游记', '主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔', '上映时间：2017-11-24', '9.6']
['19', '情书', '主演：中山美穗,丰川悦司,酒井美纪', '上映时间：1999-03-01', '8.9']
['20', '少年派的奇幻漂流', '主演：苏拉·沙玛,伊尔凡·可汗,塔布', '上映时间：2012-11-22', '9.0']
['21', '何以为家', '主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔', '上映时间：2019-04-29', '9.3']
['22', '摔跤吧！爸爸', '主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡', '上映时间：2017-05-05', '9.8']
['23', '放牛班的春天', '主演：热拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德', '上映时间：2004-10-16', '9.5']
['24', '忠犬八公的故事', '主演：Forest,理查·基尔,琼·艾伦', '上映时间：2009-06-13(美国)', '9.3']
['25', '小丑', '主演：杰昆·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温', '上映时间：2019-10-04(美国)', '8.6']
['26', '泰坦尼克号', '主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩', '上映时间：1998-04-03', '9.4']
['27', '当幸福来敲门', '主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿', '上映时间：2008-01-17', '9.3']
['28', '天堂电影院', '主演：菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂', '上映时间：2021-06-11', '9.3']
['29', '熔炉', '主演：孔刘,郑裕美,金智英', '上映时间：2011-09-22(韩国)', '8.8']
['30', '三傻大闹宝莱坞', '主演：阿米尔·汗,卡琳娜·卡普,马德哈万', '上映时间：2011-12-08', '9.1']
['31', '你的名字。', '主演：上白石萌音,佟心竹,神木隆之介', '上映时间：2016-12-02', '9.2']
['32', '看不见的客人', '主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多', '上映时间：2017-09-15', '9.4']
['33', '教父', '主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩', '上映时间：1972-03-14(美国)', '9.3']
['34', '活着', '主演：葛优,巩俐,牛犇', '上映时间：1994-05-17(法国)', '9.0']
['35', '头号玩家', '主演：泰伊·谢里丹,奥利维亚·库克,本·门德尔森', '上映时间：2018-03-30', '9.0']
['36', '死亡诗社', '主演：罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德', '上映时间：1989-06-02(加拿大)', '8.7']
